Species_abbr	Species_class	Name	Total_Genes	KEGG	Reactome	Biocyc	Panther	GO	Genes_with_KEGG_annotation	Genes_with_Reactome_annotation	Genes_with_BioCyc_aanotation	Genes_with_Panther_annotation	Genes_with_GO_annotation
xtw	Bacteria	Xylella taiwanensis	2366	94	0	0	0	0	728	0	0	0	0
xtr	Animals	Xenopus tropicalis (western clawed frog)	24110	167	0	0	0	6487	5558	0	0	0	7136
gab	Plants	Gossypium arboreum	36956	137	0	0	0	0	6975	0	0	0	0
xtn	Bacteria	Xanthomonas translucens	3683	119	0	0	0	0	1164	0	0	0	0
wjo	Bacteria	Weissella jogaejeotgali	2167	98	0	0	0	0	648	0	0	0	0
lmp	Bacteria	Listeria monocytogenes 07PF0776 (serotype 4b)	2882	104	0	0	0	0	1041	0	0	0	0
rlg	Bacteria	Rhizobium leguminosarum bv. trifolii WSM1325	7295	125	0	0	0	0	2048	0	0	0	0
lmt	Bacteria	Listeria monocytogenes 10403S (serotype 1/2a)	2910	107	0	0	0	0	1057	0	0	0	0
cart	Bacteria	Cryobacterium arcticum	4020	117	0	0	0	0	1133	0	0	0	0
spkc	Bacteria	Sphingomonas sp. KC8	3973	117	0	0	0	0	1182	0	0	0	0
aue	Bacteria	Aureitalea sp. RR4-38	2886	102	0	0	0	0	658	0	0	0	0
rlb	Bacteria	Rhizobium leguminosarum bv. trifolii WSM1689	6843	125	0	0	0	0	1975	0	0	0	0
dori	Bacteria	Draconibacterium orientale	4155	107	0	0	0	0	941	0	0	0	0
carh	Bacteria	Chryseobacterium arthrosphaerae	4902	107	0	0	0	0	863	0	0	0	0
txi	Bacteria	Thalassospira xiamenensis	4424	115	0	0	0	0	1504	0	0	0	0
txy	Bacteria	Thermoanaerobacterium xylanolyticum	2492	99	0	0	0	0	862	0	0	0	0
carc	Bacteria	Carnobacterium sp. CP1	2519	99	0	0	0	0	857	0	0	0	0
dno	Bacteria	Dichelobacter nodosus	1351	79	0	0	0	0	539	0	0	0	0
dni	Bacteria	Dermacoccus nishinomiyaensis	2382	105	0	0	0	0	781	0	0	0	0
lme	Bacteria	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	2108	98	0	0	0	0	766	0	0	0	0
dnv	Animals	Drosophila navojoa	11204	136	0	0	0	0	2484	0	0	0	0
care	Bacteria	Collimonas arenae	5139	121	0	0	0	0	1520	0	0	0	0
dnx	Animals	Diuraphis noxia (Russian wheat aphid)	12688	134	0	0	0	0	2883	0	0	0	0
abra	Bacteria	Acholeplasma brassicae	1763	80	0	0	0	0	553	0	0	0	0
cza	Bacteria	Cycloclasticus zancles	2623	116	0	0	0	0	936	0	0	0	0
hoe	Bacteria	Hoeflea sp. IMCC20628	4879	119	0	0	0	0	1547	0	0	0	0
hoh	Bacteria	Haliangium ochraceum	6952	121	0	0	0	0	1103	0	0	0	0
hor	Bacteria	Halothermothrix orenii	2436	100	0	0	0	0	812	0	0	0	0
