a.aegypti,aag
a.carolinensis,acs
a.clavatus,act
a.flavus,afv
a.fumigatus,afm
a.gambiae,aga
a.gossypii,ago
a.lyrata,aly
a.melanoleuca,aml
a.mellifera,ame
a.nidulans,ani
a.niger,ang
a.oryzae,aor
a.pisum,api
a.queenslandica,aqu
a.thaliana,ath
b.distachyon,bdi
b.fuckeliana,bfu
b.malayi,bmy
b.taurus,bta
c.briggsae,cbr
c.elegans,cel
c.familiaris,cfa
c.intestinalis,cin
c.merolae,cme
c.neoformans,cnb
c.quinquefasciatus,cqu
c.reinhardtii,cre
d.ananassae,dan
d.discoideum,ddi
d.erecta,der
d.grimshawi,dgr
d.melanogaster,dme
d.mojavensis,dmo
d.persimilis,dpe
d.pseudoobscura,dpo
d.rerio,dre
d.sechellia,dse
d.simulans,dsi
d.virilis,dvi
d.willistoni,dwi
d.yakuba,dya
e.caballus,ecb
e.histolytica,ehi
f.catus,fca
g.gallus,gga
g.gorilla,ggo
g.lamblia,gla
g.max,gmx
h.sapiens,hsa
i.scapularis,isc
l.loa,loa
l.major,lma
m.domestica,mdo
m.gallopavo,mgp
m.mulatta,mcc
m.musculus,mmu
m.oryzae,mgr
m.truncatula,mtr
n.crassa,ncr
n.fischeri,nfi
n.haematococca,nhe
n.vectensis,nve
n.vitripennis,nvi
o.anatinus,oaa
o.latipes,ola
o.sativa,osa
p.abelii,pon
p.berghei,pbe
p.chabaudi,pcb
p.falciparum,pfa
p.graminis,pgr
p.humanus,phu
p.infestans,pif
p.knowlesi,pkn
p.marinus,pma
p.nodorum,pno
p.patens,ppp
p.teres,pte
p.tetraurelia,ptm
p.trichocarpa,pop
p.tricornutum,pti
p.troglodytes,ptr
p.vivax,pvx
r.norvegicus,rno
s.bicolor,sbi
s.cerevisiae,sce
s.harrisii,shr
s.lycopersicum,sly
s.mansoni,smm
s.moellendorffii,smo
s.pombe,spo
s.purpuratus,spu
s.sclerotiorum,ssl
s.scrofa,ssc
t.adhaerens,tad
t.brucei,tbr
t.castaneum,tca
t.gondii,tgo
t.guttata,tgu
t.melanosporum,tml
t.pseudonana,tps
t.rubripes,tru
t.spiralis,tsp
t.thermophila,tet
u.maydis,uma
v.vinifera,vvi
x.tropicalis,xtr
y.lipolytica,yli
z.mays,zma
z.tritici,ztr
